,City,Country,Date,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Husavik,IS,2021-02-06 20:10:46,66.0449,-17.3389,30.2,80,90,2.3
1,Palmer,US,2021-02-06 20:10:46,42.1584,-72.3287,39.2,35,20,14.97
2,Cape Town,ZA,2021-02-06 20:10:46,-33.9258,18.4232,73.0,78,20,14.97
3,Tuktoyaktuk,CA,2021-02-06 20:08:19,69.4541,-133.0374,-16.6,76,90,21.85
4,Ponta do Sol,PT,2021-02-06 20:10:47,32.6667,-17.1,55.0,68,13,1.99
5,Nishihara,JP,2021-02-06 20:10:47,26.1842,127.7558,66.2,88,75,2.3
6,Nanortalik,GL,2021-02-06 20:10:47,60.1432,-45.2371,21.79,79,0,4.81
7,Puerto Ayora,EC,2021-02-06 20:10:47,-0.7393,-90.3518,84.2,65,75,17.27
8,Vao,NC,2021-02-06 20:08:40,-22.6667,167.4833,77.05,88,0,7.34
9,Kavieng,PG,2021-02-06 20:08:10,-2.5744,150.7967,82.15,74,88,3.96
10,Jamestown,US,2021-02-06 20:10:47,42.097,-79.2353,23.0,53,1,21.85
11,Ixtapa,MX,2021-02-06 20:10:47,20.7,-105.2,80.6,54,40,10.36
12,Ancud,CL,2021-02-06 20:10:47,-41.8697,-73.8203,75.2,50,0,11.5
13,Mataura,NZ,2021-02-06 20:08:06,-46.1927,168.8643,58.28,76,0,2.08
14,Angren,UZ,2021-02-06 20:10:48,41.0167,70.1436,42.82,63,100,1.88
15,Bredasdorp,ZA,2021-02-06 20:08:09,-34.5322,20.0403,68.0,77,96,4.61
16,Hithadhoo,MV,2021-02-06 20:08:21,-0.6,73.0833,81.46,77,11,13.85
17,Rikitea,PF,2021-02-06 20:10:48,-23.1203,-134.9692,77.85,73,100,11.72
18,Mehamn,NO,2021-02-06 20:08:27,71.0357,27.8492,25.93,94,100,20.13
19,Busselton,AU,2021-02-06 20:08:09,-33.65,115.3333,57.99,96,100,3.0
20,Vostok,RU,2021-02-06 20:10:48,46.4856,135.8833,-13.04,90,100,2.48
21,Khatanga,RU,2021-02-06 20:10:48,71.9667,102.5,-36.36,78,0,6.96
22,Yellowknife,CA,2021-02-06 20:10:03,62.456,-114.3525,-38.0,67,1,3.44
23,Port Elizabeth,ZA,2021-02-06 20:10:48,-33.918,25.5701,68.0,88,40,16.11
24,Henties Bay,NA,2021-02-06 20:10:48,-22.116,14.2845,64.99,88,10,3.0
25,Ribeira Grande,PT,2021-02-06 20:10:48,38.5167,-28.7,60.8,88,75,21.85
26,Zaraza,VE,2021-02-06 20:10:48,9.3503,-65.3245,91.22,37,100,9.13
27,Albany,US,2021-02-06 20:07:08,42.6001,-73.9662,37.4,32,40,17.27
28,Katsuura,JP,2021-02-06 20:10:49,35.1333,140.3,42.8,65,0,8.05
29,Hasaki,JP,2021-02-06 20:10:49,35.7333,140.8333,35.6,93,20,1.14
30,Sungai Penuh,ID,2021-02-06 20:10:49,-2.0833,101.3833,62.8,86,92,4.12
31,Rabo de Peixe,PT,2021-02-06 20:10:49,37.8,-25.5833,60.01,94,75,13.8
32,Coquimbo,CL,2021-02-06 20:10:49,-29.9533,-71.3436,68.0,60,20,13.8
33,São Filipe,CV,2021-02-06 20:08:17,14.8961,-24.4956,70.63,73,81,14.79
34,Kruisfontein,ZA,2021-02-06 20:10:49,-34.0033,24.7314,69.01,83,0,5.99
35,Tiarei,PF,2021-02-06 20:10:49,-17.5333,-149.3333,80.6,69,75,14.97
36,Sciacca,IT,2021-02-06 20:10:49,37.5082,13.0881,60.8,77,0,16.11
37,Kumul,CN,2021-02-06 20:10:49,42.8,93.45,31.01,78,0,5.66
38,Morogoro,TZ,2021-02-06 20:10:49,-6.8167,37.6667,78.8,83,20,3.74
39,Barcelos,PT,2021-02-06 20:09:08,41.5388,-8.6151,48.99,76,20,9.22
40,Faanui,PF,2021-02-06 20:10:50,-16.4833,-151.75,81.64,69,1,10.38
41,Prince Rupert,CA,2021-02-06 20:10:50,54.3161,-130.3201,39.2,87,90,2.3
42,Sayyan,YE,2021-02-06 20:10:50,15.1718,44.3244,47.84,72,3,0.67
43,Bluff,NZ,2021-02-06 20:10:50,-46.6,168.3333,55.36,79,5,4.23
44,Bambous Virieux,MU,2021-02-06 20:10:50,-20.3428,57.7575,80.01,83,20,5.75
45,Oranjestad,AW,2021-02-06 20:06:26,12.524,-70.027,82.4,65,20,25.32
46,Kodinsk,RU,2021-02-06 20:07:55,58.6881,99.1844,12.24,95,100,5.95
47,Pevek,RU,2021-02-06 20:08:21,69.7008,170.3133,-2.34,87,89,4.5
48,Kamiiso,JP,2021-02-06 20:10:50,41.8167,140.65,29.01,92,100,5.37
49,Sørland,NO,2021-02-06 20:10:50,67.667,12.6934,34.86,82,72,25.03
50,Naze,JP,2021-02-06 20:10:51,28.3667,129.4833,60.53,82,99,9.53
51,Emmett,US,2021-02-06 20:05:58,43.8735,-116.4993,48.99,31,49,3.0
52,Itarema,BR,2021-02-06 20:10:52,-2.9248,-39.9167,83.21,68,42,14.43
53,Arraial do Cabo,BR,2021-02-06 20:10:52,-22.9661,-42.0278,71.6,94,90,6.91
54,New Norfolk,AU,2021-02-06 20:10:52,-42.7826,147.0587,60.01,69,99,1.99
55,Mossamedes,AO,2021-02-06 20:10:52,-15.1961,12.1522,71.89,78,37,9.69
56,Nikolskoye,RU,2021-02-06 20:10:52,59.7035,30.7861,10.4,72,75,15.66
57,Nelson Bay,AU,2021-02-06 20:10:52,-32.7167,152.15,69.8,100,90,10.36
58,Punta Arenas,CL,2021-02-06 20:10:52,-53.15,-70.9167,53.6,50,20,10.36
59,Chifeng,CN,2021-02-06 20:06:19,42.2683,118.9636,5.99,91,74,3.0
60,Airai,TL,2021-02-06 20:10:52,-8.9266,125.4092,60.21,100,100,2.21
61,Haimen,CN,2021-02-06 20:10:52,23.1935,116.6142,59.0,88,0,6.71
62,Mahébourg,MU,2021-02-06 20:10:52,-20.4081,57.7,77.0,83,20,5.75
63,Neuquén,AR,2021-02-06 20:09:15,-38.9516,-68.0591,86.0,39,0,5.75
64,Qaanaaq,GL,2021-02-06 20:08:07,77.484,-69.3632,12.31,87,100,9.64
65,Uddevalla,SE,2021-02-06 20:10:53,58.3478,11.9424,6.8,85,0,2.3
66,Belaya Gora,RU,2021-02-06 20:10:53,68.5333,146.4167,-31.02,83,73,2.64
67,Sola,VU,2021-02-06 20:10:53,-13.8833,167.55,81.79,71,12,3.67
68,Abalak,RU,2021-02-06 20:10:53,58.1286,68.5944,33.62,94,100,13.87
69,Cabo San Lucas,MX,2021-02-06 20:08:44,22.8909,-109.9124,78.01,53,1,10.36
70,Iqaluit,CA,2021-02-06 20:08:10,63.7506,-68.5145,24.8,86,90,16.11
71,Saldanha,ZA,2021-02-06 20:10:53,-33.0117,17.9442,68.0,77,39,8.05
72,Yining,CN,2021-02-06 20:10:53,29.0361,114.5636,50.49,88,5,1.43
73,Severo-Kuril'sk,RU,2021-02-06 20:10:53,50.6789,156.125,20.91,94,100,14.34
74,Muswellbrook,AU,2021-02-06 20:10:53,-32.2667,150.9,70.0,83,16,4.0
75,East London,ZA,2021-02-06 20:10:53,-33.0153,27.9116,75.92,86,16,3.18
76,Punta Alta,AR,2021-02-06 20:06:35,-38.8759,-62.0736,76.53,56,2,23.44
77,Barrow,US,2021-02-06 20:08:08,71.2906,-156.7887,-2.2,78,90,11.5
78,Cockburn Town,TC,2021-02-06 20:10:54,21.4612,-71.1419,80.6,69,20,16.11
79,Nouadhibou,MR,2021-02-06 20:10:54,20.931,-17.0347,66.2,59,0,18.41
80,Tura,IN,2021-02-06 20:08:41,25.5198,90.2201,57.72,59,91,2.71
81,Atuona,PF,2021-02-06 20:08:06,-9.8,-139.0333,80.13,78,100,23.31
82,Port Alfred,ZA,2021-02-06 20:10:54,-33.5906,26.891,71.01,93,81,1.99
83,Cidreira,BR,2021-02-06 20:10:54,-30.1811,-50.2056,76.62,64,6,8.19
84,Khandyga,RU,2021-02-06 20:08:31,62.6667,135.6,-26.57,85,100,1.52
85,Marsh Harbour,BS,2021-02-06 20:10:54,26.5412,-77.0636,77.09,76,0,20.85
86,Kutum,SD,2021-02-06 20:10:54,14.2,24.6667,53.78,39,0,10.11
87,Avarua,CK,2021-02-06 20:08:06,-21.2078,-159.775,84.2,74,45,8.05
88,Saint-Philippe,RE,2021-02-06 20:08:17,-21.3585,55.7679,79.0,83,75,3.44
89,San Patricio,US,2021-02-06 20:08:26,28.017,-97.5169,73.4,64,75,10.36
90,Telford,GB,2021-02-06 20:08:12,52.6766,-2.4493,39.99,100,75,4.61
91,Olafsvik,IS,2021-02-06 20:10:55,64.8945,-23.7142,35.4,80,76,15.5
92,Castro,BR,2021-02-06 20:10:55,-24.7911,-50.0119,75.83,54,0,4.32
93,Lavrentiya,RU,2021-02-06 20:10:55,65.5833,-171.0,-7.13,79,0,2.1
94,Upernavik,GL,2021-02-06 20:10:55,72.7868,-56.1549,19.62,78,100,4.43
95,Beidao,CN,2021-02-06 20:10:55,34.5686,105.8933,41.23,53,100,0.45
96,Norman Wells,CA,2021-02-06 20:10:55,65.282,-126.8329,-31.0,68,75,6.91
97,Belmonte,BR,2021-02-06 20:10:55,-15.8631,-38.8828,82.4,83,75,8.05
98,Ushuaia,AR,2021-02-06 20:06:45,-54.8,-68.3,55.4,71,40,19.57
99,Bulgan,MN,2021-02-06 20:10:55,48.8125,103.5347,1.9,82,0,2.59
100,Abu Kamal,SY,2021-02-06 20:10:56,34.4506,40.9171,54.9,51,0,9.17
101,Butaritari,KI,2021-02-06 20:10:56,3.0707,172.7902,81.12,81,99,21.68
102,Bathsheba,BB,2021-02-06 20:10:57,13.2167,-59.5167,82.4,57,20,18.41
103,Salamiyah,SY,2021-02-06 20:10:09,35.0113,37.0532,51.64,74,0,6.22
104,Batticaloa,LK,2021-02-06 20:10:57,7.7102,81.6924,77.07,87,21,10.92
105,Saskylakh,RU,2021-02-06 20:10:57,71.9167,114.0833,-37.62,80,69,6.71
106,Toro,CO,2021-02-06 20:10:57,4.6117,-76.0814,77.0,69,75,6.91
